Date,Open,High,Low,Close,Adj_Close,Volume,USD_Index,CPI,Yield_10Y,headline_count,avg_sentiment,std_sentiment
2014-01-02,1204.3,1227.3,1204.3,1225.0,1225.0,209,80.63,236.468,3.0,1,-0.4404,0.0
2014-01-03,1221.7,1239.0,1221.7,1238.4,1238.4,142,80.79,236.468,3.01,2,0.0,0.0
2014-01-06,1232.8,1247.0,1221.9,1237.8,1237.8,127,80.65,236.468,2.98,1,0.743,0.0
2014-01-07,1239.3,1242.4,1226.3,1229.4,1229.4,73,80.83,236.468,2.96,1,0.0,0.0
2014-01-08,1227.5,1227.5,1218.6,1225.3,1225.3,189,81.04,236.468,3.01,1,0.0,0.0
2014-01-09,1225.8,1229.3,1225.8,1229.3,1229.3,7,81.01,236.468,2.97,1,0.128,0.0
2014-01-10,1235.0,1246.8,1234.0,1246.7,1246.7,58,80.66,236.468,2.88,0,0.0,0.0
2014-01-13,1250.6,1252.7,1245.5,1250.9,1250.9,46,80.51,236.468,2.84,2,-0.27115,0.0973686037693876
2014-01-14,1251.0,1251.3,1242.0,1245.2,1245.2,37,80.61,236.468,2.88,1,0.0,0.0
2014-01-15,1243.1,1243.2,1238.1,1238.1,1238.1,68,81.0,236.468,2.9,2,-0.5104500000000001,0.1257942963730869
2014-01-16,1239.3,1242.8,1239.0,1240.0,1240.0,48,80.9,236.468,2.86,1,-0.2023,0.0
2014-01-17,1239.7,1254.3,1239.7,1251.7,1251.7,101,81.26,236.468,2.84,0,0.0,0.0
2014-01-21,1256.4,1257.5,1240.0,1242.3,1242.3,224,81.1,236.468,2.85,0,0.0,0.0
2014-01-22,1241.7,1242.0,1239.0,1239.0,1239.0,58,81.17,236.468,2.87,1,0.3182,0.0
2014-01-23,1235.2,1264.2,1235.2,1262.6,1262.6,40,80.44,236.468,2.79,2,-0.24695,0.3492400392280358
2014-01-24,1258.3,1269.4,1258.3,1264.5,1264.5,38,80.46,236.468,2.75,0,0.0,0.0
2014-01-27,1259.8,1264.4,1254.4,1263.6,1263.6,92,80.5,236.468,2.78,1,0.6369,0.0
2014-01-28,1257.9,1258.4,1251.0,1251.0,1251.0,20,80.57,236.468,2.77,0,0.0,0.0
2014-01-29,1262.2,1262.2,1262.2,1262.2,1262.2,"137,028",80.51,236.468,2.69,2,0.0,0.0
2014-01-30,1267.0,1267.7,1237.5,1242.2,1242.2,"45,276",81.09,236.468,2.72,1,-0.4019,0.0
2014-01-31,1243.6,1254.5,1238.4,1240.1,1240.1,"5,820",81.27,236.468,2.67,0,0.0,0.0
2014-02-03,1242.4,1266.3,1241.2,1260.4,1260.4,"2,914",81.01,236.468,2.61,1,-0.1027,0.0
2014-02-04,1258.4,1260.7,1247.8,1251.7,1251.7,"1,745",81.12,236.468,2.64,1,0.0,0.0
2014-02-05,1254.0,1273.7,1253.1,1257.3,1257.3,"1,616",81.03,236.468,2.7,0,0.0,0.0
2014-02-06,1258.0,1267.0,1253.5,1257.6,1257.6,274,80.89,236.468,2.73,2,0.50935,0.1803829398806883
2014-02-07,1258.3,1271.4,1257.9,1263.3,1263.3,436,80.69,236.468,2.71,0,0.0,0.0
2014-02-10,1269.6,1277.3,1265.7,1274.8,1274.8,742,80.67,236.468,2.7,0,0.0,0.0
2014-02-11,1274.0,1292.0,1273.8,1290.1,1290.1,562,80.63,236.468,2.75,1,0.0,0.0
2014-02-12,1290.5,1296.2,1285.5,1295.3,1295.3,140,80.68,236.468,2.8,0,0.0,0.0
2014-02-13,1293.3,1303.5,1287.5,1300.4,1300.4,877,80.29,236.468,2.73,0,0.0,0.0
2014-02-14,1301.7,1320.7,1301.7,1319.0,1319.0,308,80.13,236.468,2.75,2,-0.2221,0.6341333613680958
2014-02-18,1322.9,1330.6,1313.9,1324.7,1324.7,373,80.01,236.468,2.71,0,0.0,0.0
2014-02-19,1318.3,1321.6,1309.1,1320.6,1320.6,193,80.17,236.468,2.73,0,0.0,0.0
