Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 30, 2024","2,620.70","2,626.90","2,597.00","2,606.10","2,606.10",794
"Dec 27, 2024","2,617.70","2,617.70","2,616.40","2,617.20","2,617.20",642
"Dec 26, 2024","2,628.50","2,638.80","2,627.90","2,638.80","2,638.80",84
"Dec 24, 2024","2,613.00","2,620.00","2,609.50","2,620.00","2,620.00",35
"Dec 23, 2024","2,620.00","2,627.70","2,611.10","2,612.30","2,612.30",451
"Dec 20, 2024","2,605.30","2,631.60","2,604.90","2,628.70","2,628.70",592
"Dec 19, 2024","2,582.10","2,610.30","2,582.10","2,592.20","2,592.20",238
"Dec 18, 2024","2,644.30","2,647.10","2,590.20","2,636.50","2,636.50",566
"Dec 17, 2024","2,651.80","2,652.30","2,632.50","2,644.40","2,644.40",705
"Dec 16, 2024","2,658.30","2,663.30","2,651.00","2,651.40","2,651.40",877
"Dec 13, 2024","2,688.20","2,689.30","2,647.90","2,656.00","2,656.00","1,125"
"Dec 12, 2024","2,725.10","2,725.10","2,677.40","2,687.50","2,687.50","2,365"
"Dec 11, 2024","2,701.80","2,733.80","2,693.10","2,733.80","2,733.80","3,387"
"Dec 10, 2024","2,662.30","2,698.20","2,661.00","2,697.60","2,697.60",437
"Dec 9, 2024","2,632.10","2,677.10","2,630.80","2,664.90","2,664.90",935
"Dec 6, 2024","2,620.20","2,643.10","2,617.50","2,638.60","2,638.60",571
"Dec 5, 2024","2,652.40","2,655.00","2,625.70","2,626.60","2,626.60",573
"Dec 4, 2024","2,639.20","2,658.30","2,637.00","2,653.80","2,653.80",249
"Dec 3, 2024","2,639.00","2,654.70","2,636.00","2,644.70","2,644.70","1,062"
"Dec 2, 2024","2,649.00","2,649.80","2,621.70","2,634.90","2,634.90",695
"Nov 29, 2024","2,636.40","2,664.30","2,620.70","2,657.00","2,657.00","3,861"
"Nov 27, 2024","2,633.50","2,657.90","2,627.20","2,639.90","2,639.90","61,653"
"Nov 26, 2024","2,625.60","2,625.60","2,620.30","2,620.30","2,620.30","177,858"
"Nov 25, 2024","2,689.40","2,689.40","2,616.80","2,616.80","2,616.80",94
"Nov 22, 2024","2,687.50","2,710.50","2,685.60","2,709.90","2,709.90",41
"Nov 21, 2024","2,659.30","2,672.10","2,655.70","2,672.10","2,672.10",33
"Nov 20, 2024","2,638.50","2,648.20","2,638.50","2,648.20","2,648.20",27
"Nov 19, 2024","2,621.90","2,627.70","2,619.30","2,627.10","2,627.10",87
"Nov 18, 2024","2,591.70","2,610.70","2,589.40","2,610.60","2,610.60",136
"Nov 15, 2024","2,565.70","2,565.70","2,565.70","2,565.70","2,565.70",20
"Nov 14, 2024","2,555.10","2,576.20","2,554.20","2,568.20","2,568.20",27
"Nov 13, 2024","2,611.10","2,611.80","2,580.80","2,580.80","2,580.80",53
"Nov 12, 2024","2,605.50","2,605.50","2,592.80","2,600.00","2,600.00",118
"Nov 11, 2024","2,671.70","2,671.70","2,611.20","2,611.20","2,611.20",20
"Nov 8, 2024","2,688.50","2,694.60","2,682.90","2,687.50","2,687.50","1,038"
"Nov 7, 2024","2,662.50","2,699.10","2,662.50","2,698.40","2,698.40",676
"Nov 6, 2024","2,734.50","2,734.50","2,659.40","2,667.60","2,667.60",427
"Nov 5, 2024","2,743.00","2,743.90","2,740.30","2,740.30","2,740.30",23
"Nov 4, 2024","2,736.50","2,737.10","2,736.10","2,736.10","2,736.10",16
"Nov 1, 2024","2,745.50","2,756.00","2,734.20","2,738.60","2,738.60",109
"Oct 31, 2024","2,787.40","2,787.50","2,733.50","2,738.30","2,738.30",849
"Oct 30, 2024","2,774.60","2,789.00","2,774.60","2,788.50","2,788.50",231
"Oct 29, 2024","2,768.40","2,768.40","2,768.40","2,768.40","2,768.40",848
"Oct 28, 2024","2,736.10","2,742.90","2,729.50","2,742.90","2,742.90",56
"Oct 25, 2024","2,725.50","2,742.40","2,725.50","2,740.90","2,740.90",29
"Oct 24, 2024","2,729.00","2,736.10","2,729.00","2,734.90","2,734.90",27
"Oct 23, 2024","2,742.50","2,742.50","2,714.20","2,714.40","2,714.40",18
"Oct 22, 2024","2,731.70","2,746.00","2,728.60","2,744.20","2,744.20",93
"Oct 21, 2024","2,721.90","2,738.40","2,719.50","2,723.10","2,723.10",52
"Oct 18, 2024","2,713.70","2,719.60","2,713.70","2,713.70","2,713.70",29
"Oct 17, 2024","2,677.40","2,691.70","2,677.20","2,691.00","2,691.00",30
"Oct 16, 2024","2,674.00","2,674.00","2,674.00","2,674.00","2,674.00",6
"Oct 15, 2024","2,661.40","2,661.40","2,661.40","2,661.40","2,661.40",39
"Oct 14, 2024","2,655.00","2,655.30","2,647.80","2,647.80","2,647.80",40
"Oct 11, 2024","2,638.30","2,658.10","2,638.20","2,657.60","2,657.60",12
"Oct 10, 2024","2,602.50","2,628.30","2,602.50","2,620.60","2,620.60",320
"Oct 9, 2024","2,603.00","2,607.70","2,603.00","2,606.00","2,606.00",152
"Oct 8, 2024","2,639.00","2,639.00","2,609.30","2,615.00","2,615.00",687
"Oct 7, 2024","2,648.70","2,657.40","2,639.00","2,644.80","2,644.80",284
"Oct 4, 2024","2,656.00","2,667.00","2,639.00","2,645.80","2,645.80",114
"Oct 3, 2024","2,642.80","2,657.10","2,640.00","2,657.10","2,657.10",354
"Oct 2, 2024","2,650.60","2,657.20","2,640.00","2,647.10","2,647.10",72
"Oct 1, 2024","2,631.40","2,670.90","2,631.40","2,667.30","2,667.30",153
"Sep 30, 2024","2,660.90","2,662.10","2,623.20","2,636.10","2,636.10",973
"Sep 27, 2024","2,670.00","2,672.10","2,641.70","2,644.30","2,644.30","4,228"
"Sep 26, 2024","2,662.30","2,669.90","2,660.80","2,669.90","2,669.90","17,216"
"Sep 25, 2024","2,656.30","2,664.20","2,649.30","2,659.20","2,659.20",175
"Sep 24, 2024","2,636.80","2,662.30","2,625.50","2,651.20","2,651.20",35
"Sep 23, 2024","2,626.50","2,626.50","2,626.50","2,626.50","2,626.50",9
"Sep 20, 2024","2,590.40","2,621.80","2,590.40","2,619.90","2,619.90",17
"Sep 19, 2024","2,566.00","2,588.00","2,566.00","2,588.00","2,588.00",99
"Sep 18, 2024","2,570.70","2,570.70","2,549.20","2,570.70","2,570.70",25
"Sep 17, 2024","2,581.20","2,581.80","2,564.30","2,564.30","2,564.30",22
"Sep 16, 2024","2,580.40","2,580.40","2,580.40","2,580.40","2,580.40",28
"Sep 13, 2024","2,568.80","2,581.80","2,565.00","2,581.30","2,581.30",31
"Sep 12, 2024","2,529.10","2,557.00","2,523.40","2,551.20","2,551.20",132
"Sep 11, 2024","2,525.80","2,525.80","2,502.30","2,512.10","2,512.10",90
"Sep 10, 2024","2,512.30","2,512.30","2,512.30","2,512.30","2,512.30",5
"Sep 9, 2024","2,491.30","2,504.70","2,491.30","2,501.80","2,501.80",96
"Sep 6, 2024","2,510.30","2,517.90","2,483.70","2,493.50","2,493.50",96
"Sep 5, 2024","2,493.70","2,513.30","2,493.40","2,511.40","2,511.40",54
"Sep 4, 2024","2,490.90","2,493.40","2,483.50","2,493.40","2,493.40",470
"Sep 3, 2024","2,501.60","2,501.80","2,476.30","2,489.90","2,489.90",206
"Aug 30, 2024","2,519.50","2,525.40","2,493.80","2,493.80","2,493.80",208
"Aug 29, 2024","2,504.10","2,525.70","2,503.90","2,525.70","2,525.70","3,966"
"Aug 28, 2024","2,501.00","2,501.00","2,501.00","2,501.00","2,501.00","2,353"
"Aug 27, 2024","2,515.20","2,523.10","2,506.90","2,516.00","2,516.00",100
"Aug 26, 2024","2,509.90","2,523.10","2,509.10","2,517.70","2,517.70",290
"Aug 23, 2024","2,486.50","2,508.40","2,486.50","2,508.40","2,508.40",94
"Aug 22, 2024","2,504.10","2,504.10","2,471.10","2,478.90","2,478.90",210
"Aug 21, 2024","2,511.00","2,515.40","2,503.90","2,508.40","2,508.40",96
"Aug 20, 2024","2,503.50","2,527.30","2,500.70","2,511.30","2,511.30",187
"Aug 19, 2024","2,508.50","2,508.50","2,487.20","2,501.80","2,501.80",88
"Aug 16, 2024","2,453.50","2,508.00","2,451.40","2,498.60","2,498.60",197
"Aug 15, 2024","2,451.80","2,467.70","2,431.20","2,453.10","2,453.10",285
"Aug 14, 2024","2,468.00","2,472.10","2,439.40","2,439.40","2,439.40",274
"Aug 13, 2024","2,461.00","2,470.00","2,456.50","2,466.70","2,466.70",510
"Aug 12, 2024","2,432.70","2,469.80","2,432.00","2,462.40","2,462.40",566
"Aug 9, 2024","2,422.30","2,432.10","2,418.50","2,432.10","2,432.10",611
"Aug 8, 2024","2,384.30","2,422.80","2,384.30","2,422.20","2,422.20",201
"Aug 7, 2024","2,392.20","2,401.00","2,384.50","2,390.50","2,390.50",130
"Aug 6, 2024","2,414.50","2,421.80","2,380.00","2,389.10","2,389.10",163
"Aug 5, 2024","2,442.00","2,449.80","2,367.40","2,401.70","2,401.70",334
"Aug 2, 2024","2,444.00","2,477.00","2,416.00","2,425.70","2,425.70",550
"Aug 1, 2024","2,446.70","2,455.10","2,430.40","2,435.00","2,435.00",690
"Jul 31, 2024","2,407.10","2,447.60","2,402.80","2,426.50","2,426.50","1,313"
"Jul 30, 2024","2,380.90","2,409.30","2,373.80","2,405.00","2,405.00","25,944"
"Jul 29, 2024","2,377.30","2,377.30","2,377.30","2,377.30","2,377.30","126,409"
"Jul 26, 2024","2,368.70","2,386.90","2,368.70","2,380.00","2,380.00",95
"Jul 25, 2024","2,365.50","2,365.50","2,351.90","2,351.90","2,351.90",31
"Jul 24, 2024","2,421.00","2,421.00","2,411.60","2,413.30","2,413.30",6
"Jul 23, 2024","2,395.80","2,404.60","2,388.70","2,404.60","2,404.60",41
"Jul 22, 2024","2,402.10","2,402.10","2,392.00","2,392.00","2,392.00",18
"Jul 19, 2024","2,418.80","2,419.20","2,395.50","2,395.50","2,395.50",15
"Jul 18, 2024","2,466.00","2,466.00","2,451.80","2,451.80","2,451.80",2
"Jul 17, 2024","2,472.90","2,473.10","2,454.80","2,454.80","2,454.80",10
"Jul 16, 2024","2,427.40","2,462.40","2,427.40","2,462.40","2,462.40",93
"Jul 15, 2024","2,430.00","2,436.00","2,422.90","2,422.90","2,422.90",540
"Jul 12, 2024","2,399.80","2,414.00","2,391.30","2,414.00","2,414.00",355
"Jul 11, 2024","2,378.70","2,416.70","2,378.70","2,415.00","2,415.00",72
"Jul 10, 2024","2,366.30","2,377.00","2,365.80","2,372.20","2,372.20",19
