headline,publication_date,section_name
York records strongest house price rises in England and Wales,2022-12-30T05:00:39Z,Money
"Treasury discussing raising energy price cap from April, say sources",2022-11-11T16:52:30Z,Money
"UK homeowners forced to settle for below asking price, Zoopla says",2022-11-28T00:01:09Z,Money
Car insurance: how to get the right policy at the best price,2022-11-07T07:00:01Z,Money
UK supermarkets accused of raising fuel margins despite petrol price drop,2022-10-05T05:01:00Z,Money
Energy price rises: what will happen to UK households on 1 October?,2022-09-25T06:00:25Z,Money
Holidaymakers face delays as fuel price protesters block M5,2022-07-22T12:36:48Z,Money
"Ofgem raises energy price cap by 80% to £3,549 from October",2022-08-26T06:01:01Z,Money
"Motorists still getting raw deal despite record petrol price fall, says RAC",2022-09-04T23:01:09Z,Money
Ofgem confirms energy price cap to be updated every three months,2022-08-04T13:30:04Z,Money
"Annual UK house price growth slowed sharply in June, ONS data shows",2022-08-17T12:26:30Z,Money
Beware removal firms that offer unusually low prices,2022-11-17T07:00:42Z,Money
"Energy price cap in Britain could near £3,000 this autumn",2022-06-20T19:37:43Z,Money
What is the energy price cap and could I end up paying even more?,2022-08-26T09:47:19Z,Money
Price of UK petrol makes biggest daily jump in 17 years,2022-06-08T14:33:50Z,Money
‘This was just the warning’: the fuel price protesters planning more action,2022-07-05T15:52:35Z,Money
Record UK petrol price risks a mass exodus of essential workers ,2022-06-11T13:39:20Z,Money
Hard to swallow: the 30% price hike that gets delivered with your meal,2022-07-11T06:30:06Z,Money
"Average UK house price tops £250,000 but ‘market starting to slow’",2022-05-29T23:01:13Z,Money
Petrol price rises: average cost of filling a car tops £100,2022-06-09T10:07:37Z,Money
Raab turns the tables on BBC presenter with petrol price question,2022-05-20T10:38:06Z,Money
UK house prices stall as mortgage rate rise fuels caution,2022-11-10T00:01:39Z,Money
"UK petrol price rises could grind to a halt this week, says AA",2022-06-13T10:56:25Z,Money
UK house prices fall after ‘significant shock’ of mini-budget,2022-11-07T09:53:57Z,Money
Ministers to cap firms’ energy bills amid calls for longer-term support,2022-09-20T20:38:30Z,Money
‘I’m frightened’: prepaid meter users feel early impact of price hike,2022-04-15T09:00:27Z,Money
UK house prices predicted to drop by at least 10% in 2023,2022-09-28T08:32:05Z,Money
Isle of Man to freeze electricity prices until 2023,2022-08-24T11:39:26Z,Money
House price growth outstrips wages in 90% of England and Wales,2022-03-23T15:17:26Z,Money
Energy bills: Britons in shock as suppliers confirm price rise,2022-02-26T07:00:38Z,Money
How to get your home ready to sell and get the best price,2022-05-16T06:00:52Z,Money
Lifetime Isa saving scheme ‘stopping some from buying a home’,2022-11-06T11:30:54Z,Money
‘It’s worse than under Thatcher’: energy price rises pile pressure on UK ,2022-03-31T15:23:58Z,Money
UK petrol prices rise after Opec decides to cut oil production,2022-10-11T12:48:57Z,Money
UK petrol prices not falling in line with wholesale cost – RAC,2022-08-02T23:01:11Z,Money
UK house prices fall for first time in 15 months after Liz Truss mini-budget,2022-11-01T11:09:17Z,Money
Furniture poverty: the price of moving in to an empty house,2022-02-20T08:30:04Z,Money
Under-30s pay the highest price for the UK’s cost-of-living crisis,2022-03-21T09:00:20Z,Money
Is the energy bills support in the autumn statement generous enough?,2022-11-17T16:14:18Z,Money
Energy cap leap looks to be moment when UK recession fears turn into reality,2022-08-26T14:58:57Z,Money
"UK house prices may fall 20% amid mortgage ‘carnage’, warn experts",2022-09-28T18:31:03Z,Money
Energy bills: flat dwellers face massive rise despite price cap,2022-01-15T10:00:19Z,Money
UK energy bills – six ways to reduce the impact of soaring prices,2022-08-10T17:55:31Z,Money
"Millions face second record energy price hike this year, analysts warn",2022-01-17T18:53:47Z,Money
House sellers ‘putting up prices despite rate rises and cost of living crisis’,2022-09-26T05:30:04Z,Money
‘I live under rugs’: people try to keep central heating off as UK bills soar,2022-10-06T14:49:59Z,Money
Online fraud: victim blaming and the emotional price of falling for a scam,2022-02-20T08:00:04Z,Money
Damage limitation: simple ways to cut a spiralling energy bill,2022-09-05T07:30:10Z,Money
"As inflation soars, it’s time to make your money work harder",2022-10-24T08:00:01Z,Money
Rising energy bills put millions of UK households at risk of winter catastrophe ,2022-08-26T23:07:56Z,Money
Petrol prices: UK watchdog raises concerns over refinery margins,2022-07-08T08:17:28Z,Money
Energy price cap hike: how might the UK government help with bills?,2022-02-02T17:37:34Z,Money
UK petrol and diesel prices hit record highs,2022-05-18T13:29:55Z,Money
How can Octopus give me a fixed-rate tariff that isn’t fixed?,2022-09-27T06:00:15Z,Money
Two-thirds of Tory voters back temporary nationalisation of energy firms – poll,2022-08-16T17:22:22Z,Money
UK house prices rising at 11% a year despite cost of living crisis,2022-08-02T07:43:32Z,Money
‘It feels like a tipping point’: drivers on the soaring petrol and diesel prices,2022-07-04T12:56:27Z,Money
Fuel retailers accused of profiteering as UK petrol prices hit record,2022-06-27T13:03:36Z,Money
How to protect your savings and pension from UK inflation,2022-08-06T06:00:07Z,Money
Two UK lenders temporarily pull new mortgage deals amid volatile market,2022-09-26T18:22:10Z,Money
"Mourning period will not delay energy bill freeze, says No 10",2022-09-09T16:25:04Z,Money
British households face record 54% energy bill rise as price cap is raised,2022-02-03T11:04:34Z,Money
Energy bills: what do Liz Truss’s measures mean for you?,2022-09-08T15:25:49Z,Money
How the UK energy price cap is calculated – and how it affects your bill,2022-02-03T14:34:54Z,Money
"Energy crisis: UK households worst hit in western Europe, finds IMF",2022-09-01T10:27:06Z,Money
US student makes $110m profit trading meme stock Bed Bath & Beyond,2022-08-18T11:54:38Z,Money
Commuters switching to cars face record UK petrol prices to fill up,2022-06-20T12:18:50Z,Money
"UK energy bills forecast to hit £4,266 a year from January",2022-08-09T23:00:53Z,Money
New Ofgem cap means poorest homes to spend up to 47% of budget on energy,2022-08-26T09:50:52Z,Money
Why are UK fuel prices at a record high when cost of oil has fallen?,2022-07-04T14:49:42Z,Money
Key UK mortgage rate passes 4% for the first time since 2013,2022-08-22T18:17:16Z,Money
Shoppers shocked as supermarkets’ online prices jump after ordering,2022-04-09T06:00:04Z,Money
UK renters: how have soaring prices and a lack of supply affected you?,2022-06-01T15:06:30Z,Money
Tell us: how have you been affected by rising petrol prices?,2022-06-09T15:45:30Z,Money
Three’s pay-as-you-go prices to rise by up to 250% for thousands of users,2022-06-08T14:09:36Z,Money
Send in your questions: what do you want to know about the energy price cap hike?,2022-02-03T11:32:20Z,Money
How to save money when you buy video games and consoles,2022-07-24T15:05:05Z,Money
Home improvements: how to pay for building work as prices rise,2022-04-02T06:00:43Z,Money
Sunak to consider fuel duty cut amid claims petrol prices are ‘pump fiction’,2022-06-28T14:47:49Z,Money
Insurers told to stop shortchanging UK drivers by undervaluing write-offs,2022-12-02T14:52:35Z,Money
Labour’s energy bill freeze makes more sense politically than economically,2022-08-15T13:01:00Z,Money
Holidaymakers face soaring car hire costs as shortages drive up prices,2022-05-30T06:30:21Z,Money
What the UK car and home insurance shake-up means for the price you pay,2022-01-01T07:00:41Z,Money
Fuel Poverty Action’s energy pricing plan is not just for the poorest,2022-04-25T13:33:43Z,Money
How to save on UK rail fares: all the tips and tricks,2022-11-14T07:00:32Z,Money
Taking the heat out of soaring energy prices,2022-02-06T16:52:55Z,Money
"UK energy bills ‘could hit more than £3,300 a year this winter’",2022-07-08T14:21:24Z,Money
Energy bills: read your meter today before prices rise,2022-03-31T07:28:39Z,Money
"UK drivers cut back on car use or other spending amid high fuel prices, says AA",2022-07-28T14:50:40Z,Money
Protests over soaring energy prices take place across UK,2022-04-02T17:10:20Z,Money
Record rents and house prices pile pressure on UK households,2022-03-05T05:01:14Z,Money
EasyJet cancelled flight to see my dying mother,2022-05-05T06:00:28Z,Money
"How to haggle for the best deal, from broadband to travel",2022-04-25T06:20:28Z,Money
"Private renters twice as likely as homeowners to have anxiety, UK study suggests",2022-11-10T06:00:46Z,Money
