headline,publication_date,section_name
Virgin Media announces price rises,2014-11-21 07:00:02+00:00,Money
Mortgage price war is good news for borrowers,2014-10-12 06:00:04+00:00,Money
"UK house price growth rate slowing, Halifax says",2014-10-08 09:29:26+00:00,Money
Fuel price falls again as three supermarkets announce cuts,2014-10-27 16:56:05+00:00,Money
"£100,000 tiny London flat snapped up after price cut",2014-10-09 10:40:12+00:00,Money
"House price growth rate slowing despite October rise, says Nationwide",2014-10-30 18:07:44+00:00,Money
TalkTalk announces sharp price rises for phone and broadband services,2014-10-30 07:01:35+00:00,Money
Price comparison sites criticised over failings,2014-07-16 09:26:23+00:00,Money
Car insurance industry faces shakeup over price comparison websites,2014-09-24 10:26:35+00:00,Money
Home Protect’s £400 price hike for another person's claim,2014-09-15 06:00:28+00:00,Money
London house prices fall in November,2014-12-22 00:05:06+00:00,Money
Mortgage price war expected as UK lenders fight for market share,2014-10-07 10:42:25+00:00,Money
Average house price in England and Wales approaching 2007 peak,2014-09-26 10:36:23+00:00,Money
Supermarket price war lowers annual cost of food for first time in eight years,2014-12-03 00:01:11+00:00,Money
Estate agent embarrasses us with our house price flyer,2014-08-08 06:00:00+00:00,Money
"True impact of price rises hidden by official inflation data, says thinktank",2014-10-14 23:01:06+00:00,Money
"Payday lenders may vanish within year as result of price cap, says economist",2014-11-10 19:20:30+00:00,Money
Razor blades that just didn't cut it over price,2014-07-23 06:00:00+00:00,Money
Money Talks: Phones 4u closes and house price hit new highs,2014-09-18 12:22:35+00:00,Money
Switch energy supplier if your fixed-price tariff is coming to an end,2014-09-26 06:00:04+00:00,Money
Npower chief blames high prices on Labour's threatened energy price freeze,2014-08-22 13:43:21+00:00,Money
Investors counting on property boom despite house price warning,2014-06-22 23:02:00+00:00,Money
Fleecing the elderly: price rises that shame the insurance industry,2014-07-12 06:00:32+00:00,Money
UK house price rises for 2014 almost twice as high as predicted,2014-08-26 11:58:04+00:00,Money
"House prices rose 0.7% in November, Halifax says",2014-12-04 10:03:24+00:00,Money
Relocation from London up 50% as house prices soar,2014-12-29 00:01:01+00:00,Money
BA's 'travelling light' fare came with a heavy price to pay,2014-07-17 06:00:01+00:00,Money
Greenwich leads market with house prices up by quarter in 2014,2014-12-27 00:05:03+00:00,Money
Tracker fund price war makes DIY investing cheaper than ever,2014-06-20 10:26:12+00:00,Money
How can I beat this E.ON £500 price hike,2014-06-05 06:00:00+00:00,Money
Shock as Co-op announces electricity price rise,2014-04-24 12:33:59+00:00,Money
At a cinema near you – big prices for the big screen ,2014-11-21 10:47:57+00:00,Money
Grosvenor Crescent: the London street where house prices average £16.9m,2014-12-12 07:00:04+00:00,Money
House price increase set to slow as gap between supply and demand narrows,2014-08-12 19:14:44+00:00,Money
Why do the big six energy providers still refuse to pass on price falls?,2014-08-30 06:00:06+00:00,Money
